Umur (minggu),Perusahaan,Breeds,Konsumsi_(g/hari),Konsumsi_(g/minggu),Konsumsi/(BB^0.75)_(g/minggu),BB_(g/minggu),BB^0.75_(g/minggu),%_Ca,Konsumsi-Ca_(g/minggu),%_P-Ter.,Konsumsi_P-Tersedia_(g/minggu),%_P,Konsumsi_P_(g/minggu)
26,LTZ,LSL-Classic,114,798,125.59,1630,256.53,2.00,2.51,0.45,0.57,0.65,0.82
27,LTZ,LSL-Classic,114,798,125.21,1650,258.89,2.00,2.50,0.45,0.56,0.65,0.81
28,LTZ,LSL-Classic,114,798,124.83,1670,261.24,2.00,2.50,0.45,0.56,0.65,0.81
29,LTZ,LSL-Classic,114,798,124.46,1690,263.58,2.00,2.49,0.45,0.56,0.65,0.81
30,LTZ,LSL-Classic,114,798,124.28,1700,264.75,2.00,2.49,0.45,0.56,0.65,0.81
31,LTZ,LSL-Classic,115,805,125.28,1705,265.33,2.00,2.51,0.45,0.56,0.65,0.81
32,LTZ,LSL-Classic,115,805,125.18,1710,265.92,2.00,2.50,0.45,0.56,0.65,0.81
33,LTZ,LSL-Classic,115,805,125.13,1713,266.27,2.00,2.50,0.45,0.56,0.65,0.81
34,LTZ,LSL-Classic,115,805,125.09,1715,266.50,2.00,2.50,0.45,0.56,0.65,0.81
35,LTZ,LSL-Classic,105,735,114.16,1718,266.85,2.00,2.28,0.45,0.51,0.65,0.74
8,LTZ,LSL-Extra,48,336,66.14,666,131.10,1.00,0.66,0.45,0.30,0.70,0.46
9,LTZ,LSL-Extra,52,364,69.17,767,145.75,0.90,0.62,0.37,0.26,0.58,0.40
10,LTZ,LSL-Extra,56,392,72.32,863,159.22,0.90,0.65,0.37,0.27,0.58,0.42
11,LTZ,LSL-Extra,60,420,75.73,946,170.58,0.90,0.68,0.37,0.28,0.58,0.44
12,LTZ,LSL-Extra,64,448,79.25,1021,180.62,0.90,0.71,0.37,0.29,0.58,0.46
13,LTZ,LSL-Extra,67,469,81.72,1085,189.05,0.90,0.74,0.37,0.30,0.58,0.47
14,LTZ,LSL-Extra,70,490,84.25,1144,196.71,0.90,0.76,0.37,0.31,0.58,0.49
15,LTZ,LSL-Extra,73,511,86.88,1197,203.50,0.90,0.78,0.37,0.32,0.58,0.50
16,LTZ,LSL-Extra,76,532,89.56,1245,209.59,0.90,0.81,0.37,0.33,0.58,0.52
17,LTZ,LSL-Extra,79,553,92.18,1295,215.87,0.90,0.83,0.37,0.34,0.58,0.53
18,LTZ,LSL-Extra,83,581,95.89,1348,222.47,2.00,1.92,0.45,0.43,0.65,0.62
19,LTZ,LSL-Extra,88,616,100.53,1410,230.10,2.00,2.01,0.45,0.45,0.65,0.65
20,LTZ,LSL-Extra,100,700,112.90,1478,238.37,2.00,2.26,0.45,0.51,0.65,0.73
21,LTZ,LSL-Extra,106,742,118.39,1543,246.19,2.00,2.37,0.45,0.53,0.65,0.77
22,LTZ,LSL-Extra,110,770,121.88,1593,252.15,2.00,2.44,0.45,0.55,0.65,0.79
23,LTZ,LSL-Extra,113,791,124.43,1633,256.89,2.00,2.49,0.45,0.56,0.65,0.81
24,LTZ,LSL-Extra,114,798,124.87,1668,261.00,2.00,2.50,0.45,0.56,0.65,0.81
25,LTZ,LSL-Extra,114,798,124.31,1698,264.52,2.00,2.49,0.45,0.56,0.65,0.81
26,LTZ,LSL-Extra,114,798,123.86,1723,267.43,2.00,2.48,0.45,0.56,0.65,0.81
27,LTZ,LSL-Extra,114,798,123.50,1743,269.76,2.00,2.47,0.45,0.56,0.65,0.80
28,LTZ,LSL-Extra,114,798,123.24,1758,271.50,2.00,2.46,0.45,0.55,0.65,0.80
29,LTZ,LSL-Extra,114,798,123.06,1768,272.65,2.00,2.46,0.45,0.55,0.65,0.80
30,LTZ,LSL-Extra,114,798,122.94,1775,273.46,2.00,2.46,0.45,0.55,0.65,0.80
31,LTZ,LSL-Extra,115,805,123.93,1780,274.04,2.00,2.48,0.45,0.56,0.65,0.81
32,LTZ,LSL-Extra,115,805,123.88,1783,274.39,2.00,2.48,0.45,0.56,0.65,0.81
33,LTZ,LSL-Extra,115,805,123.83,1786,274.73,2.00,2.48,0.45,0.56,0.65,0.80
34,LTZ,LSL-Extra,115,805,123.78,1789,275.08,2.00,2.48,0.45,0.56,0.65,0.80
35,LTZ,LSL-Extra,105,735,112.97,1792,275.43,2.00,2.26,0.45,0.51,0.65,0.73
8,LTZ,LSL-Lite,46,322,64.14,635,126.50,1.00,0.64,0.45,0.29,0.70,0.45
9,LTZ,LSL-Lite,49,343,65.88,735,141.16,0.90,0.59,0.37,0.24,0.58,0.38
10,LTZ,LSL-Lite,52,364,67.92,825,153.94,0.90,0.61,0.37,0.25,0.58,0.39
11,LTZ,LSL-Lite,55,385,70.41,894,163.49,0.90,0.63,0.37,0.26,0.58,0.41
12,LTZ,LSL-Lite,58,406,72.96,959,172.33,0.90,0.66,0.37,0.27,0.58,0.42
13,LTZ,LSL-Lite,61,427,75.50,1023,180.89,0.90,0.68,0.37,0.28,0.58,0.44
14,LTZ,LSL-Lite,64,448,78.08,1084,188.92,0.90,0.70,0.37,0.29,0.58,0.45
15,LTZ,LSL-Lite,67,469,80.66,1143,196.58,0.90,0.73,0.37,0.30,0.58,0.47
16,LTZ,LSL-Lite,71,497,84.44,1200,203.89,0.90,0.76,0.37,0.31,0.58,0.49
17,LTZ,LSL-Lite,75,525,88.21,1255,210.85,0.90,0.79,0.37,0.33,0.58,0.51
18,LTZ,LSL-Lite,79,553,91.99,1306,217.25,2.00,1.84,0.45,0.41,0.65,0.60
19,LTZ,LSL-Lite,83,581,95.74,1356,223.46,2.00,1.91,0.45,0.43,0.65,0.62
20,LTZ,LSL-Lite,100,700,114.33,1405,229.49,2.00,2.29,0.45,0.51,0.65,0.74
21,LTZ,LSL-Lite,106,742,120.20,1452,235.22,2.00,2.40,0.45,0.54,0.65,0.78
22,LTZ,LSL-Lite,110,770,123.79,1497,240.67,2.00,2.48,0.45,0.56,0.65,0.80
23,LTZ,LSL-Lite,113,791,126.31,1538,245.59,2.00,2.53,0.45,0.57,0.65,0.82
24,LTZ,LSL-Lite,114,798,126.67,1575,250.01,2.00,2.53,0.45,0.57,0.65,0.82
25,LTZ,LSL-Lite,114,798,126.02,1608,253.93,2.00,2.52,0.45,0.57,0.65,0.82
26,LTZ,LSL-Lite,114,798,125.63,1628,256.30,2.00,2.51,0.45,0.57,0.65,0.82
27,LTZ,LSL-Lite,114,798,125.42,1639,257.59,2.00,2.51,0.45,0.56,0.65,0.82
28,LTZ,LSL-Lite,114,798,125.30,1645,258.30,2.00,2.51,0.45,0.56,0.65,0.81
29,LTZ,LSL-Lite,114,798,125.23,1649,258.77,2.00,2.50,0.45,0.56,0.65,0.81
30,LTZ,LSL-Lite,114,798,125.19,1651,259.01,2.00,2.50,0.45,0.56,0.65,0.81
31,LTZ,LSL-Lite,115,805,126.25,1653,259.24,2.00,2.52,0.45,0.57,0.65,0.82
32,LTZ,LSL-Lite,115,805,126.21,1655,259.48,2.00,2.52,0.45,0.57,0.65,0.82
33,LTZ,LSL-Lite,115,805,126.17,1657,259.71,2.00,2.52,0.45,0.57,0.65,0.82
34,LTZ,LSL-Lite,115,805,126.15,1658,259.83,2.00,2.52,0.45,0.57,0.65,0.82
35,LTZ,LSL-Lite,105,735,115.15,1660,260.06,2.00,2.30,0.45,0.52,0.65,0.75
8,LTZ,LSL-Ultra-Lite,45,315,63.78,595,120.47,1.00,0.64,0.45,0.29,0.70,0.45
9,LTZ,LSL-Ultra-Lite,48,336,65.68,685,133.90,0.90,0.59,0.37,0.24,0.58,0.38
10,LTZ,LSL-Ultra-Lite,51,357,67.88,765,145.46,0.90,0.61,0.37,0.25,0.58,0.39
11,LTZ,LSL-Ultra-Lite,54,378,70.21,840,156.03,0.90,0.63,0.37,0.26,0.58,0.41
12,LTZ,LSL-Ultra-Lite,57,399,72.65,910,165.68,0.90,0.65,0.37,0.27,0.58,0.42
13,LTZ,LSL-Ultra-Lite,61,427,76.41,975,174.48,0.90,0.69,0.37,0.28,0.58,0.44
14,LTZ,LSL-Ultra-Lite,64,448,78.98,1035,182.48,0.90,0.71,0.37,0.29,0.58,0.46
15,LTZ,LSL-Ultra-Lite,67,469,81.62,1090,189.70,0.90,0.73,0.37,0.30,0.58,0.47
16,LTZ,LSL-Ultra-Lite,71,497,85.48,1143,196.58,0.90,0.77,0.37,0.32,0.58,0.50
17,LTZ,LSL-Ultra-Lite,75,525,89.14,1203,204.27,0.90,0.80,0.37,0.33,0.58,0.52
18,LTZ,LSL-Ultra-Lite,79,553,92.58,1273,213.12,2.00,1.85,0.45,0.42,0.65,0.60
19,LTZ,LSL-Ultra-Lite,83,581,96.06,1338,221.23,2.00,1.92,0.45,0.43,0.65,0.62
20,LTZ,LSL-Ultra-Lite,100,700,114.58,1393,228.01,2.00,2.29,0.45,0.52,0.65,0.74
21,LTZ,LSL-Ultra-Lite,106,742,120.49,1438,233.52,2.00,2.41,0.45,0.54,0.65,0.78
22,LTZ,LSL-Ultra-Lite,110,770,124.19,1478,238.37,2.00,2.48,0.45,0.56,0.65,0.81
23,LTZ,LSL-Ultra-Lite,113,791,126.83,1513,242.59,2.00,2.54,0.45,0.57,0.65,0.82
24,LTZ,LSL-Ultra-Lite,114,798,127.43,1538,245.59,2.00,2.55,0.45,0.57,0.65,0.83
25,LTZ,LSL-Ultra-Lite,114,798,127.02,1558,247.99,2.00,2.54,0.45,0.57,0.65,0.83
26,LTZ,LSL-Ultra-Lite,114,798,126.71,1573,249.77,2.00,2.53,0.45,0.57,0.65,4.55
27,LTZ,LSL-Ultra-Lite,114,798,126.51,1583,250.96,2.00,2.53,0.45,0.57,0.65,4.55
28,LTZ,LSL-Ultra-Lite,114,798,126.39,1589,251.68,2.00,2.53,0.45,0.57,0.65,4.55
29,LTZ,LSL-Ultra-Lite,114,798,126.35,1591,251.91,2.00,2.53,0.45,0.57,0.65,4.55
30,LTZ,LSL-Ultra-Lite,114,798,126.31,1593,252.15,2.00,2.53,0.45,0.57,0.65,4.55
31,LTZ,LSL-Ultra-Lite,115,805,127.38,1595,252.39,2.00,2.55,0.45,0.57,0.65,4.55
32,LTZ,LSL-Ultra-Lite,115,805,127.34,1597,252.63,2.00,2.55,0.45,0.57,0.65,4.55
33,LTZ,LSL-Ultra-Lite,115,805,127.26,1601,253.10,2.00,2.55,0.45,0.57,0.65,4.55
34,LTZ,LSL-Ultra-Lite,115,805,127.22,1603,253.34,2.00,2.54,0.45,0.57,0.65,4.55
35,LTZ,LSL-Ultra-Lite,105,735,116.14,1604,253.46,2.00,2.32,0.45,0.52,0.65,4.55
8,LTZ,LT,52,364,70.84,697,135.65,1.00,0.71,0.45,0.32,0.70,0.50
9,LTZ,LT,56,392,73.80,796,149.86,0.90,0.66,0.37,0.27,0.58,0.43
10,LTZ,LT,59,413,75.61,890,162.95,0.90,0.68,0.37,0.28,0.58,0.44
11,LTZ,LT,61,427,76.36,978,174.89,0.90,0.69,0.37,0.28,0.58,0.44
12,LTZ,LT,64,448,78.48,1062,186.03,0.90,0.71,0.37,0.29,0.58,0.46
13,LTZ,LT,66,462,79.46,1143,196.58,0.90,0.72,0.37,0.29,0.58,0.46
14,LTZ,LT,68,476,80.56,1219,206.30,0.90,0.73,0.37,0.30,0.58,0.47
15,LTZ,LT,69,483,80.64,1287,214.87,0.90,0.73,0.37,0.30,0.58,0.47
16,LTZ,LT,72,504,83.09,1354,223.21,0.90,0.75,0.37,0.31,0.58,0.48
17,LTZ,LT,74,518,84.29,1426,232.05,2.00,1.69,0.45,0.38,0.65,0.55
18,LTZ,LT,77,539,86.58,1502,241.27,2.00,1.73,0.45,0.39,0.65,0.56
19,LTZ,LT,83,581,92.11,1583,250.96,2.00,1.84,0.45,0.41,0.65,0.60
20,LTZ,LT,96,672,105.12,1670,261.24,2.00,2.10,0.45,0.47,0.65,0.68
21,LTZ,LT,100,700,108.35,1742,269.64,2.00,2.17,0.45,0.49,0.65,0.70
22,LTZ,LT,106,742,113.56,1823,278.99,2.00,2.27,0.45,0.51,0.65,0.74
23,LTZ,LT,110,770,117.12,1868,284.14,2.00,2.34,0.45,0.53,0.65,0.76
24,LTZ,LT,113,791,119.71,1906,288.46,2.00,2.39,0.45,0.54,0.65,0.78
25,LTZ,LT,114,798,120.52,1922,290.28,2.00,2.41,0.45,0.54,0.65,0.78
26,LTZ,LT,114,798,120.32,1935,291.75,2.00,2.41,0.45,0.54,0.65,0.78
27,LTZ,LT,114,798,120.24,1940,292.32,2.00,2.40,0.45,0.54,0.65,0.78
28,LTZ,LT,114,798,121.74,1846,281.63,2.00,2.43,0.45,0.55,0.65,0.79
29,LTZ,LT,114,798,120.07,1951,293.56,2.00,2.40,0.45,0.54,0.65,0.78
30,LTZ,LT,114,798,120.01,1955,294.01,2.00,2.40,0.45,0.54,0.65,0.78
31,LTZ,LT,114,798,119.96,1958,294.35,2.00,2.40,0.45,0.54,0.65,0.78
32,LTZ,LT,115,805,120.97,1961,294.69,2.00,2.42,0.45,0.54,0.65,0.79
33,LTZ,LT,115,805,120.92,1964,295.02,2.00,2.42,0.45,0.54,0.65,0.79
34,LTZ,LT,115,805,120.88,1967,295.36,2.00,2.42,0.45,0.54,0.65,0.79
35,LTZ,LT,115,805,120.83,1970,295.70,2.00,2.42,0.45,0.54,0.65,0.79
